BeginTime: 11:13:16
2024-09-17 11:13:23 [INFO] [live_tarding_data_simulator.cpp:172 Init] Order: 803210
2024-09-17 11:13:23 [INFO] [live_tarding_data_simulator.cpp:173 Init] Transaction: 766489
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34332(09:32:12), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138335040000(9:32:15  40), refUpdateTimeSpan:1687138335053457(9:32:15 53457), orderPrice:170.475000, orderVolume:70, isBuy:1, askOrderID:195618, bidOrderID:195628, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34335(09:32:15), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138338030000(9:32:18  30), refUpdateTimeSpan:1687138338051707(9:32:18 51707), orderPrice:170.221000, orderVolume:20, isBuy:0, askOrderID:198322, bidOrderID:196667, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34338(09:32:18), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138341100000(9:32:21  100), refUpdateTimeSpan:1687138341119603(9:32:21 119603), orderPrice:0.000000, orderVolume:50, isBuy:0, askOrderID:200673, bidOrderID:0, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34341(09:32:21), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138344230000(9:32:24  230), refUpdateTimeSpan:1687138344249707(9:32:24 249707), orderPrice:169.802000, orderVolume:20, isBuy:0, askOrderID:204154, bidOrderID:203912, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34344(09:32:24), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138347000000(9:32:27  0), refUpdateTimeSpan:1687138347011881(9:32:27 11881), orderPrice:0.000000, orderVolume:220, isBuy:0, askOrderID:206417, bidOrderID:0, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34347(09:32:27), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138350100000(9:32:30  100), refUpdateTimeSpan:1687138350119703(9:32:30 119703), orderPrice:0.000000, orderVolume:20, isBuy:1, askOrderID:0, bidOrderID:208233, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34350(09:32:30), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138353150000(9:32:33  150), refUpdateTimeSpan:1687138353166198(9:32:33 166198), orderPrice:169.989000, orderVolume:10, isBuy:1, askOrderID:210586, bidOrderID:211516, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34353(09:32:33), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138356200000(9:32:36  200), refUpdateTimeSpan:1687138356214029(9:32:36 214029), orderPrice:0.000000, orderVolume:50, isBuy:1, askOrderID:0, bidOrderID:213295, isCancel:1], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34356(09:32:36), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138359000000(9:32:39  0), refUpdateTimeSpan:1687138359015303(9:32:39 15303), orderPrice:170.304000, orderVolume:260, isBuy:1, askOrderID:216390, bidOrderID:216399, isCancel:0], pendingTransactions: 0
2024-09-17 11:13:23 [INFO] [transaction_mgr.cpp:118 OnReceiveTransaction] tickTimeSpan_: 34359(09:32:39), transaction:[instrumentId:SZ127080, updateTimeSpan:1687138362050000(9:32:42  50), refUpdateTimeSpan:1687138362062269(9:32:42 62269), orderPrice:0.000000, orderVolume:10, isBuy:1, askOrderID:0, bidOrderID:215389, isCancel:1], pendingTransactions: 0
